Key,FREQUENCY
"7,12",217616
"4,3",20170
"4,20",252929
"1,7",55497
"3,23",156999
"4,15",215531
"3,1",39697
"2,6",107191
"1,1",170657
"6,22",244582
"3,21",253454
"2,7",168821
"3,2",23273
"6,16",198753
"7,4",57690
"7,20",207028
"2,14",207476
"6,19",268279
"1,10",168697
"3,18",271919
"1,4",64729
"1,17",205193
"5,17",231777
"4,4",20912
"4,19",263971
"6,5",44258
"5,12",207554
"3,16",201692
"3,14",218632
"5,8",227675
"1,5",31013
"6,13",207204
"7,8",107407
"5,15",217511
"7,17",227818
"3,4",18559
"5,9",212532
"7,1",158500
"4,14",216630
"5,4",23836
"1,23",105567
"7,14",214680
"6,8",216883
"6,15",219104
"3,3",15382
"4,17",233289
"4,18",268351
"2,4",24172
"5,23",207818
"2,5",43284
"2,20",224006
"4,2",31021
"3,12",202133
"4,16",196584
"4,1",50732
"1,15",201189
"5,5",42291
"7,10",181511
"6,23",232301
"2,2",29087
"5,1",59469
"3,0",74287
"6,18",268696
"7,22",223395
"1,20",167442
"6,0",141902
"6,1",86575
"2,16",205072
"1,2",132444
"5,7",195871
"5,18",267611
"7,9",150761
"7,18",247143
"3,15",219705
"2,3",20710
"7,21",206080
"1,21",160064
"5,3",23417
"2,21",218195
"6,10",192387
"4,10",194995
"3,9",210447
"1,0",198601
"2,0",70994
"1,12",206359
"6,12",205939
"7,7",70985
"5,21",266716
"3,8",225237
"4,22",237575
"2,11",177799
"4,5",41329
"2,13",191408
"4,12",206728
"3,11",192439
"5,19",266270
"4,13",207105
"4,8",224848
"7,3",89819
"1,9",123942
"6,3",34990
"1,16",198682
"1,18",208256
"6,2",54314
"7,23",222596
"5,2",35472
"4,21",258912
"5,11",199476
"3,19",258667
"5,14",223436
"2,8",199085
"3,22",224473
"4,9",211988
"6,7",181644
"2,10",176860
"6,20",235586
"6,6",109976
"6,17",234097
"5,6",114890
"6,4",30509
"7,15",220985
"1,6",37375
"1,19",185396
"7,2",125599
"1,11",189442
"2,15",213932
"2,19",242864
"1,8",84432
"4,0",92263
"1,13",208776
"3,17",235380
"6,21",233062
"7,6",47828
"1,22",138575
"4,6",113137
"5,22",251226
"3,20",246963
"4,7",192295
"1,14",208414
"3,5",41549
"1,3",102192
"5,20",257863
"3,7",191660
"6,11",196920
"7,5",31938
"4,23",178668
"2,12",188227
"3,6",113614
"5,16",197431
"6,9",206523
"7,0",199093
"7,16",208881
"2,17",234102
"6,14",227297
"2,9",190489
"5,10",197659
"7,19",248333
"2,18",263001
"4,11",198221
"3,10",192878
"5,13",208677
"7,13",222065
"3,13",203654
"5,0",106735
"2,1",43624
"7,11",199581
"2,23",126474
"2,22",188102
